GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,CODE,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
7,2025-26,Euroleague,LUCA VILDOZA,VIR,VIR,"2025-09-30, VIR vs MAD",16,11,2,4,2,4,1,2,2,0,2,1,1,1,0,2
7,2025-26,Euroleague,CARSEN EDWARDS,VIR,VIR,"2025-09-30, VIR vs MAD",21,14,1,2,3,7,3,4,1,0,1,2,0,3,0,1
7,2025-26,Euroleague,ALESSANDRO PAJOLA,VIR,VIR,"2025-09-30, VIR vs MAD",12,2,0,0,0,3,2,2,1,1,2,1,0,0,0,1
7,2025-26,Euroleague,SALIOU NIANG,VIR,VIR,"2025-09-30, VIR vs MAD",27,12,6,8,0,0,0,0,3,1,4,3,1,1,0,2
7,2025-26,Euroleague,ALEN SMAILAGIC,VIR,VIR,"2025-09-30, VIR vs MAD",22,9,2,4,1,4,2,4,3,1,4,1,0,1,1,3
7,2025-26,Euroleague,BRANDON TAYLOR,VIR,VIR,"2025-09-30, VIR vs MAD",12,3,0,1,1,1,0,0,0,0,0,2,0,2,0,0
7,2025-26,Euroleague,DERRICK ALSTON JR.,VIR,VIR,"2025-09-30, VIR vs MAD",14,2,1,1,0,0,0,0,2,0,2,1,0,0,0,1
7,2025-26,Euroleague,DANIEL HACKETT,VIR,VIR,"2025-09-30, VIR vs MAD",12,4,1,1,0,0,2,2,3,0,3,1,0,0,0,0
7,2025-26,Euroleague,MATTHEW MORGAN,VIR,VIR,"2025-09-30, VIR vs MAD",18,7,1,2,1,3,2,3,1,0,1,1,0,0,0,2
7,2025-26,Euroleague,ALIOU DIARRA,VIR,VIR,"2025-09-30, VIR vs MAD",7,4,2,3,0,0,0,0,0,1,1,0,0,1,0,4
7,2025-26,Euroleague,KARIM JALLOW,VIR,VIR,"2025-09-30, VIR vs MAD",28,2,1,3,0,0,0,0,1,2,3,0,0,0,0,2
7,2025-26,Euroleague,MOUHAMET DIOUF,VIR,VIR,"2025-09-30, VIR vs MAD",11,4,2,6,0,0,0,0,3,0,3,2,0,1,1,1
7,2025-26,Euroleague,TREY LYLES,MAD,MAD,"2025-09-30, VIR vs MAD",9,4,1,3,0,1,2,2,2,0,2,0,1,1,0,0
7,2025-26,Euroleague,DAVID KRAEMER,MAD,MAD,"2025-09-30, VIR vs MAD",10,2,1,2,0,0,0,0,1,0,1,0,1,0,0,0
7,2025-26,Euroleague,ALBERTO ABALDE,MAD,MAD,"2025-09-30, VIR vs MAD",14,2,1,1,0,1,0,0,2,1,3,2,0,1,0,1
